Case ID,"Overall, how often do you use the internet?",Do you do use social media?,Does social media make you feel more connected to information about what's going on in your friends' lives?,Does social media make you feel worse about your own life because of what you see from other friends on social media?,Does social media make you feel better connected to your friends' feelings?,Does social media make you feel pressure to post content that will be popular and get lots of comments or likes?,Does social media make you feel pressure to only post content that makes you look good to others?,Do you ever experience on social media people posting about things you werent invited to?,Do you ever experience on social media people stirring up drama?,Do you ever experience on social media people posting things about you that you cant change or control?,Do you ever experience on social media people supporting you through challenges or tough times?,People get to show different sides of themselves on social media that they cant show offline,People are less authentic and real on social media than they are offline?,People share too much information about themselves on social media?,Was there anyone in the room who watched or helped you take the survey?,Teen's race/ethnicity,Teen's age,Teen's gender,Do you consider yourself to be transgender?,Household Size,Housing Type,Marital Status,Metro status,Region of country,Own or rent,State,Parent's employment status,Household internet access,household income
1167,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,Midwest,Rented for cash,OH,Working - as a paid employee,Yes,"under $50,000"
1170,Several times a day,Yes,"Yes, a little","Yes, a lot","Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,TN,Working - as a paid employee,Yes,"$50,000-$99,000"
1171,Several times a day,Yes,No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,CT,Working - as a paid employee,Yes,"$100,000+"
1173,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$100,000+"
1176,About once a day,Yes,"Yes, a little",No,No,No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,MD,Not working - other,Yes,"under $50,000"
1179,Almost constantly,Yes,No,No,No,No,No,No,"Yes, occasionally",No,No,Agree,Agree,Agree,No,Hispanic,17,Female,"No, not transgender",3,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$50,000-$99,000"
1189,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, frequently",Agree,Disagree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",6,A one-family house detached from any other house,Divorced,Metro,South,Rented for cash,GA,Working - as a paid employee,Yes,"$100,000+"
1191,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$100,000+"
1192,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"under $50,000"
1193,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"Other, Non-Hispanic",17,Female,"No, not transgender",2,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$50,000-$99,000"
1194,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, frequently","Yes, occasionally","Yes, occasionally","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Non-Metro,Midwest,Rented for cash,IN,Working - as a paid employee,Yes,"under $50,000"
1196,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, frequently",No,"Yes, occasionally",Disagree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,KS,Not working - retired,Yes,"under $50,000"
1202,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"$50,000-$99,000"
1206,Less often,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Female,"No, not transgender",9,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,NM,Working - as a paid employee,Yes,"$50,000-$99,000"
1207,Almost constantly,Yes,No,No,No,No,No,No,No,No,No,Agree,Agree,Agree,Yes,Hispanic,14,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Non-Metro,West,Owned or being bought by you or someone in your household,AZ,Working - as a paid employee,Yes,"under $50,000"
1211,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a lot","Yes, a lot","Yes, frequently","Yes, occasionally",No,No,Agree,Agree,Agree,No,"Other, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Not working - other,Yes,"under $50,000"
1213,Several times a day,Yes,"Yes, a little",No,No,No,No,No,"Yes, occasionally",No,No,Agree,Disagree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,OR,Working - as a paid employee,Yes,"$100,000+"
1214,About once a day,Yes,No,No,No,No,No,No,No,No,"Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,NE,Not working - looking for work,Yes,"under $50,000"
1218,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house attached to one or more houses,Married,Non-Metro,South,Rented for cash,TX,Not working - other,Yes,"under $50,000"
1224,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Non-Metro,West,Owned or being bought by you or someone in your household,AZ,Working - as a paid employee,Yes,"$50,000-$99,000"
1225,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
1234,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, frequently",Agree,Agree,Agree,No,Hispanic,16,Male,"No, not transgender",4,A mobile home,Married,Metro,West,Rented for cash,NM,Not working - on temporary layoff from a job,Yes,"under $50,000"
1235,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Working - as a paid employee,Yes,"$100,000+"
1239,About once a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently",No,No,Strongly agree,Strongly agree,Agree,No,Hispanic,14,Male,"No, not transgender",4,A one-family house attached to one or more houses,Married,Metro,Northeast,Rented for cash,NJ,Working - as a paid employee,No,"under $50,000"
1244,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally",No,"Yes, occasionally","Yes, occasionally",Disagree,Disagree,Disagree,No,Hispanic,14,Female,"No, not transgender",6,A one-family house attached to one or more houses,Married,Metro,South,Occupied without payment of cash rent,TX,Not working - other,Yes,"under $50,000"
1245,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,VA,Working - self-employed,Yes,"under $50,000"
1247,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Not working - other,Yes,"$50,000-$99,000"
1253,Almost constantly,Yes,"Yes, a little",No,No,"Yes, a little","Yes, a little",No,"Yes, occasionally",No,No,Strongly agree,Disagree,Agree,No,Hispanic,13,Female,"Yes, gender non-conforming",8,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - other,Yes,"under $50,000"
1256,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,SC,Not working - other,Yes,"under $50,000"
1258,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,NV,Working - as a paid employee,Yes,"under $50,000"
1259,Several times a day,Yes,"Yes, a little","Yes, a little",No,No,No,No,"Yes, occasionally",No,No,Agree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Working - as a paid employee,Yes,"$50,000-$99,000"
1260,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot",No,No,"Yes, occasionally",No,No,"Yes, occasionally",Agree,Disagree,Disagree,Yes,Hispanic,13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,NC,Not working - other,Yes,"$50,000-$99,000"
1262,About once a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,13,Male,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,South,Owned or being bought by you or someone in your household,TX,Not working - other,Yes,"under $50,000"
1264,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$100,000+"
1265,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house detached from any other house,Divorced,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$50,000-$99,000"
1266,Almost constantly,Yes,No,No,No,"Yes, a little","Yes, a lot","Yes, occasionally","Yes, occasionally","Yes, frequently","Yes, occasionally",Agree,Disagree,Disagree,No,Hispanic,16,Male,"Yes, male to female",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Not working - disabled,Yes,"$50,000-$99,000"
1270,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",8,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,KS,Working - as a paid employee,Yes,"$50,000-$99,000"
1275,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",16,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,WA,Not working - other,Yes,"$50,000-$99,000"
1277,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$100,000+"
1279,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MN,Working - as a paid employee,Yes,"$50,000-$99,000"
1280,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$100,000+"
1281,Several times a day,Yes,No,No,"Yes, a little",No,"Yes, a little",No,"Yes, occasionally",No,"Yes, occasionally",Agree,Disagree,Agree,Yes,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house attached to one or more houses,Living with partner,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - other,Yes,"$50,000-$99,000"
1282,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",15,Female,"No, not transgender",2,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Working - as a paid employee,Yes,"$50,000-$99,000"
1284,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,Northeast,Rented for cash,NJ,Working - as a paid employee,Yes,"$50,000-$99,000"
1286,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house attached to one or more houses,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
1287,Once a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",13,Male,Refused,2,A one-family house detached from any other house,Separated,Metro,South,Rented for cash,FL,Working - as a paid employee,No,"under $50,000"
1289,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",15,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Midwest,Rented for cash,IN,Not working - other,No,"$100,000+"
1290,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a lot","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally",No,Agree,Disagree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",8,A one-family house detached from any other house,Separated,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - other,Yes,"$100,000+"
1295,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a lot","Yes, a lot","Yes, frequently","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Strongly agree,Agree,No,Hispanic,17,Female,"No, not transgender",4,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"under $50,000"
1296,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Agree,Disagree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$100,000+"
1297,Several times a day,Yes,"Yes, a lot","Yes, a lot",No,No,"Yes, a little","Yes, occasionally","Yes, frequently",No,No,Strongly agree,Strongly agree,Strongly agree,No,Hispanic,15,Female,"No, not transgender",8,A one-family house detached from any other house,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $50,000"
1298,Several times a day,Yes,No,No,No,No,No,No,"Yes, occasionally","Yes, occasionally",No,Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,KY,Working - as a paid employee,Yes,"$50,000-$99,000"
1301,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Female,"No, not transgender",6,A mobile home,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Not working - disabled,Yes,"under $50,000"
1302,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, frequently","Yes, frequently","Yes, frequently","Yes, occasionally",Strongly agree,Strongly disagree,Strongly agree,No,Hispanic,13,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,KS,Working - self-employed,Yes,"$50,000-$99,000"
1303,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little","Yes, a little","Yes, frequently","Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",2,A one-family house detached from any other house,Divorced,Metro,South,Rented for cash,SC,Working - as a paid employee,Yes,"$50,000-$99,000"
1304,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little",No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"Black, Non-Hispanic",13,Male,"No, not transgender",4,A building with 2 or more apartments,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
1305,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a lot","Yes, a lot","Yes, frequently","Yes, frequently","Yes, frequently",No,Agree,Strongly agree,Strongly agree,No,Hispanic,15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,NV,Working - as a paid employee,Yes,"$100,000+"
1306,Several times a day,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Agree,Strongly agree,Yes,Hispanic,16,Female,"No, not transgender",3,A one-family house detached from any other house,Divorced,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"under $50,000"
1308,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",14,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,WA,Not working - other,Yes,"$50,000-$99,000"
1309,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"Black, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house attached to one or more houses,Never married,Metro,South,Rented for cash,VA,Not working - disabled,No,"under $50,000"
1310,Almost constantly,Yes,"Yes, a little",No,"Yes, a lot",No,No,No,No,No,"Yes, frequently",Agree,Agree,Strongly agree,No,"Black, Non-Hispanic",14,Female,"No, not transgender",2,A building with 2 or more apartments,Divorced,Metro,Midwest,Rented for cash,KS,Not working - disabled,Yes,"under $50,000"
1313,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Disagree,No,Hispanic,15,Female,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,Midwest,Owned or being bought by you or someone in your household,KS,Working - as a paid employee,Yes,"under $50,000"
1315,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,"Yes, occasionally",Disagree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
1321,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,Yes,"White, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,AZ,Working - as a paid employee,Yes,"$50,000-$99,000"
1322,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Disagree,Agree,No,Hispanic,16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$100,000+"
1326,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,SD,Not working - other,Yes,"$50,000-$99,000"
1327,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, frequently",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A building with 2 or more apartments,Never married,Metro,Midwest,Rented for cash,OH,Working - as a paid employee,Yes,"under $50,000"
1332,Several times a day,Yes,"Yes, a little",No,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Agree,No,"2+ Races, Non-Hispanic",13,Male,"No, not transgender",6,A one-family house attached to one or more houses,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$50,000-$99,000"
1334,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - self-employed,Yes,"$50,000-$99,000"
1336,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$100,000+"
1337,Several times a day,Yes,"Yes, a little",No,No,"Yes, a little",No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Disagree,Agree,No,"Black, Non-Hispanic",13,Female,"No, not transgender",3,A building with 2 or more apartments,Married,Metro,Midwest,Rented for cash,OH,Working - as a paid employee,No,"under $50,000"
1338,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Disagree,Yes,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,Northeast,Owned or being bought by you or someone in your household,PA,Working - as a paid employee,Yes,"$100,000+"
1340,Several times a day,Yes,No,No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Living with partner,Non-Metro,South,Owned or being bought by you or someone in your household,FL,Not working - disabled,No,"under $50,000"
1341,Once a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Not working - other,Yes,"$50,000-$99,000"
1344,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",17,Male,"No, not transgender",6,A one-family house attached to one or more houses,Never married,Metro,West,Rented for cash,CA,Not working - looking for work,Yes,"under $50,000"
1346,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Other, Non-Hispanic",13,Female,"No, not transgender",2,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,WA,Working - as a paid employee,No,"$50,000-$99,000"
1348,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",17,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Rented for cash,OR,Working - as a paid employee,Yes,"$100,000+"
1349,Less often,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"2+ Races, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Not working - retired,No,"$50,000-$99,000"
