Case ID,"Overall, how often do you use the internet?",Use social media-Do you do any of the following online or on your cellphone?,More connected to information about what's going on in your friends' lives?-Does social media make you feel,Worse about your own life because of what you see from other friends on social media?-Does social media make you feel,Better connected to your friends' feelings?-Does social media make you feel,Pressure to post content that will be popular and get lots of comments or likes-Does social media make you feel,Pressure to only post content that makes you look good to others?-Does social media make you feel,People posting about things you werent invited to?- Do you ever experience on social media,People stirring up drama?-Do you ever experience on social media,People posting things about you that you cant change or control?-Do you ever experience on social media,People supporting you through challenges or tough times?-Do you ever experience on social media,People get to show different sides of themselves on social media that they cant show offline,People are less authentic and real on social media than they are offline?,People share too much information about themselves on social media?,Was there anyone in the room who watched or helped you take the survey?,Teen's race/ethnicity,Teen's age,Teen's gender,Do you consider yourself to be transgender?,Household Size,Housing Type,Marital Status,Metro status,Region of country,Own or rent,State,Parent's employment status,Household internet access,household income
901,Almost constantly,Yes,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, a lot","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Strongly agree,Agree,Strongly agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Non-Metro,South,Rented for cash,TX,Not working - other,Yes,"under $30,000"
902,Several times a day,Yes,No,No,"Yes, a lot",No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",8,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MO,Working - as a paid employee,Yes,"under $30,000"
905,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Not working - other,Yes,"$125,000+"
906,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, frequently",Strongly agree,Agree,Strongly agree,No,Hispanic,14,Female,"No, not transgender",3,A mobile home,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$30-49,999"
909,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,"Yes, a little",No,No,No,No,Disagree,Agree,Strongly agree,No,"Black, Non-Hispanic",13,Female,"No, not transgender",3,A one-family house detached from any other house,Never married,Metro,South,Rented for cash,TN,Working - as a paid employee,Yes,"under $30,000"
910,Several times a day,Yes,"Yes, a little","Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, frequently","Yes, occasionally",No,Agree,Agree,Strongly agree,Yes,"White, Non-Hispanic",16,Male,"No, not transgender",7,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"under $30,000"
911,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Rented for cash,TX,Not working - other,Yes,"$30-49,999"
913,Almost constantly,Yes,"Yes, a lot",No,"Yes, a little",No,No,No,No,No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,Hispanic,16,Male,"Yes, gender non-conforming",3,A building with 2 or more apartments,Divorced,Non-Metro,West,Rented for cash,AZ,Working - as a paid employee,No,"under $30,000"
914,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - self-employed,Yes,"$30-49,999"
918,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Strongly disagree,No,"White, Non-Hispanic",16,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - self-employed,Yes,"$125,000+"
919,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Disagree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,KY,Working - as a paid employee,Yes,"$75,000-$124,999"
920,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Living with partner,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Not working - disabled,Yes,"50,000-$74,999"
921,About once a day,Yes,No,No,No,No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$30-49,999"
922,Several times a day,Yes,"Yes, a lot",No,No,No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$75,000-$124,999"
923,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot","Yes, frequently","Yes, occasionally","Yes, frequently","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$125,000+"
924,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TN,Not working - looking for work,Yes,"$75,000-$124,999"
926,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,16,Male,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $30,000"
931,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$125,000+"
937,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,No,No,No,No,Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"50,000-$74,999"
938,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Strongly agree,Disagree,Agree,No,Hispanic,14,Male,"No, not transgender",4,A mobile home,Married,Metro,West,Owned or being bought by you or someone in your household,AZ,Working - as a paid employee,Yes,"$30-49,999"
939,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally","Yes, frequently",Disagree,Disagree,Agree,No,Hispanic,15,Female,"No, not transgender",6,A one-family house attached to one or more houses,Married,Metro,West,Rented for cash,CA,Not working - looking for work,Yes,"under $30,000"
941,Several times a week,Yes,"Yes, a little",No,No,No,No,No,"Yes, frequently",No,No,Disagree,Agree,Strongly agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"50,000-$74,999"
942,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a little",No,No,No,No,No,No,Disagree,Strongly agree,Agree,No,Hispanic,16,Male,"No, not transgender",6,A one-family house attached to one or more houses,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,No,"under $30,000"
943,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Working - as a paid employee,Yes,"50,000-$74,999"
944,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"Black, Non-Hispanic",16,Male,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Non-Metro,South,Owned or being bought by you or someone in your household,MS,Not working - disabled,No,"under $30,000"
946,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",15,Female,Refused,4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Working - self-employed,Yes,"under $30,000"
947,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Northeast,Rented for cash,RI,Working - as a paid employee,Yes,"$125,000+"
948,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",7,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,VA,Not working - other,Yes,"50,000-$74,999"
949,Several times a day,Yes,"Yes, a lot",No,"Yes, a little","Yes, a little","Yes, a little",No,No,No,No,Disagree,Disagree,Agree,Yes,"Other, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IL,Working - as a paid employee,Yes,"$75,000-$124,999"
951,Almost constantly,Yes,"Yes, a little",No,No,No,No,No,"Yes, occasionally","Yes, occasionally",No,Disagree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,WI,Working - as a paid employee,Yes,"$75,000-$124,999"
952,Almost constantly,Yes,"Yes, a little",No,"Yes, a lot",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Strongly agree,Agree,Agree,No,Hispanic,16,Male,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"50,000-$74,999"
953,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,Refused,5,A one-family house detached from any other house,Married,Non-Metro,Midwest,Owned or being bought by you or someone in your household,KS,Working - as a paid employee,Yes,"$75,000-$124,999"
957,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"2+ Races, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Divorced,Non-Metro,South,Occupied without payment of cash rent,MS,Not working - looking for work,Yes,"under $30,000"
959,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,OR,Not working - disabled,Yes,"50,000-$74,999"
961,Several times a day,Yes,"Yes, a little",No,No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally",No,Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Not working - retired,Yes,"$75,000-$124,999"
962,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"$125,000+"
964,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little",No,No,No,"Yes, occasionally",Agree,Disagree,Agree,No,Hispanic,17,Male,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,West,Rented for cash,CA,Not working - looking for work,Yes,"50,000-$74,999"
966,About once a day,Yes,"Yes, a little",No,No,No,No,No,"Yes, frequently",No,No,Strongly disagree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",13,Male,"No, not transgender",10,A one-family house detached from any other house,Married,Metro,West,Rented for cash,CA,Not working - other,Yes,"50,000-$74,999"
967,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,AR,Working - as a paid employee,Yes,"$75,000-$124,999"
970,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a lot","Yes, a lot",No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,KY,Not working - other,Yes,"$30-49,999"
971,Almost constantly,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a little",No,No,"Yes, frequently","Yes, frequently","Yes, occasionally",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IA,Working - as a paid employee,Yes,"$125,000+"
972,About once a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"50,000-$74,999"
975,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",16,Female,"Yes, female to male",9,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"$75,000-$124,999"
976,Several times a day,Yes,"Yes, a little","Yes, a little",No,No,No,"Yes, occasionally","Yes, occasionally",No,No,Disagree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Living with partner,Metro,Northeast,Owned or being bought by you or someone in your household,RI,Working - as a paid employee,Yes,"$75,000-$124,999"
977,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Working - as a paid employee,Yes,"50,000-$74,999"
981,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot",No,"Yes, a lot","Yes, occasionally","Yes, frequently",No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"2+ Races, Non-Hispanic",17,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,OK,Working - as a paid employee,Yes,"$75,000-$124,999"
982,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"2+ Races, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,WA,Working - as a paid employee,Yes,"50,000-$74,999"
983,About once a day,Yes,No,No,No,No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$75,000-$124,999"
986,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,Hispanic,17,Female,"No, not transgender",6,A building with 2 or more apartments,Living with partner,Metro,West,Occupied without payment of cash rent,CA,Working - as a paid employee,No,"under $30,000"
987,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",3,A one-family house detached from any other house,Never married,Non-Metro,South,Owned or being bought by you or someone in your household,TN,Not working - looking for work,Yes,"$30-49,999"
988,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,"Yes, a lot","Yes, occasionally","Yes, frequently","Yes, frequently","Yes, frequently",Strongly agree,Strongly agree,Agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MN,Working - as a paid employee,Yes,"50,000-$74,999"
989,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"50,000-$74,999"
990,Several times a day,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,No,Hispanic,15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$75,000-$124,999"
991,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Agree,Disagree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"$75,000-$124,999"
992,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally",No,No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,WA,Working - as a paid employee,Yes,"$125,000+"
994,Several times a week,Yes,"Yes, a little",No,No,"Yes, a little","Yes, a little",No,"Yes, occasionally",No,No,Strongly disagree,Strongly agree,Strongly agree,No,Hispanic,16,Male,"No, not transgender",2,A one-family house attached to one or more houses,Never married,Metro,South,Rented for cash,TX,Not working - looking for work,No,"under $30,000"
995,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,ME,Working - as a paid employee,Yes,"50,000-$74,999"
996,Almost constantly,Yes,No,No,No,No,No,No,"Yes, occasionally","Yes, occasionally",No,Agree,Agree,Agree,No,Hispanic,17,Male,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $30,000"
997,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,No,"Yes, occasionally",No,"Yes, frequently",Strongly agree,Strongly agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",2,A one-family house detached from any other house,Living with partner,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MI,Working - as a paid employee,Yes,"under $30,000"
1000,Several times a day,Yes,No,No,No,No,No,No,"Yes, frequently",No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"50,000-$74,999"
1002,About once a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,13,Male,"No, not transgender",4,A one-family house attached to one or more houses,Married,Non-Metro,West,Owned or being bought by you or someone in your household,NM,Not working - looking for work,Yes,"$30-49,999"
1003,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, a lot",No,"Yes, occasionally","Yes, frequently","Yes, frequently","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,Yes,"White, Non-Hispanic",17,Male,"No, not transgender",5,A one-family house detached from any other house,Living with partner,Metro,Midwest,Owned or being bought by you or someone in your household,MI,Not working - disabled,Yes,"$30-49,999"
1005,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Disagree,Agree,No,Hispanic,17,Male,"No, not transgender",6,A one-family house detached from any other house,Divorced,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $30,000"
1007,Several times a day,Yes,"Yes, a little",No,No,No,No,No,"Yes, occasionally",No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",2,A building with 2 or more apartments,Divorced,Metro,Northeast,Rented for cash,PA,Working - as a paid employee,Yes,"$30-49,999"
1008,Several times a week,Yes,"Yes, a little",No,"Yes, a little",No,"Yes, a little",No,"Yes, frequently","Yes, occasionally","Yes, occasionally",Strongly disagree,Strongly agree,Strongly agree,No,Hispanic,16,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Rented for cash,TX,Not working - other,Yes,"$75,000-$124,999"
1010,Several times a day,Yes,No,"Yes, a little",No,"Yes, a lot","Yes, a lot","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Divorced,Metro,South,Owned or being bought by you or someone in your household,GA,Working - self-employed,Yes,"$75,000-$124,999"
1011,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Disagree,Agree,No,"2+ Races, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house detached from any other house,Divorced,Non-Metro,South,Rented for cash,DE,Not working - other,No,"under $30,000"
1018,Several times a week,Yes,"Yes, a lot",No,"Yes, a lot",No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,No,Hispanic,13,Male,Refused,7,A one-family house attached to one or more houses,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $30,000"
1019,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Disagree,Agree,Strongly agree,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,WV,Working - as a paid employee,Yes,"50,000-$74,999"
1021,Several times a day,Yes,No,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally",No,No,Agree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IA,Not working - other,Yes,"$75,000-$124,999"
1022,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a little","Yes, a lot","Yes, a lot","Yes, frequently","Yes, frequently","Yes, frequently","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Working - as a paid employee,Yes,"$125,000+"
1023,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little","Yes, a little",No,No,No,No,Agree,Agree,Disagree,No,"White, Non-Hispanic",15,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$75,000-$124,999"
1024,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a little",No,No,"Yes, frequently",No,No,No,Agree,Agree,Agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,CA,Not working - other,Yes,"$125,000+"
1027,Several times a day,Yes,"Yes, a little",No,No,"Yes, a little",No,"Yes, occasionally",No,No,"Yes, occasionally",Disagree,Agree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Working - as a paid employee,Yes,"$125,000+"
1029,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,No,No,No,No,Agree,Disagree,Strongly agree,No,"2+ Races, Non-Hispanic",17,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Non-Metro,South,Owned or being bought by you or someone in your household,NC,Working - as a paid employee,Yes,"$75,000-$124,999"
1031,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little",No,"Yes, frequently","Yes, frequently","Yes, frequently","Yes, frequently",Strongly agree,Strongly disagree,Strongly disagree,No,"White, Non-Hispanic",16,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TN,Working - as a paid employee,Yes,"50,000-$74,999"
1032,Several times a day,Yes,"Yes, a little",No,"Yes, a little",No,No,No,No,No,No,Agree,Disagree,Disagree,No,"White, Non-Hispanic",14,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Midwest,Owned or being bought by you or someone in your household,IN,Working - as a paid employee,Yes,"$75,000-$124,999"
1037,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Disagree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",2,A one-family house detached from any other house,Divorced,Metro,South,Owned or being bought by you or someone in your household,NC,Working - as a paid employee,Yes,"$30-49,999"
1039,Several times a day,Yes,"Yes, a little","Yes, a little",No,No,"Yes, a little",No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,No,Hispanic,14,Female,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$125,000+"
